name,full_name,description,html_url,stars,forks,watchers,open_issues,language,topics,size_kb,license_name,created_at,updated_at,pushed_at,is_fork,archived
ai-agents-for-beginners,microsoft/ai-agents-for-beginners,12 Lessons to Get Started Building AI Agents,https://github.com/microsoft/ai-agents-for-beginners,66671,22004,66671,19,Jupyter Notebook,"agentic-ai,agentic-framework,agentic-rag,ai-agents,ai-agents-framework,autogen,generative-ai,semantic-kernel",3755295,MIT,2024-11-28T10:42:52Z,2026-06-08T04:27:16Z,2026-05-25T17:28:39Z,False,False
ML-For-Beginners,microsoft/ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",https://github.com/microsoft/ML-For-Beginners,86480,20995,86480,10,Jupyter Notebook,"data-science,education,machine-learning,machine-learning-algorithms,machinelearning,machinelearning-python,microsoft-for-beginners,ml,python,r,scikit-learn,scikit-learn-python",2229011,MIT,2021-03-03T01:34:05Z,2026-06-08T04:25:43Z,2026-06-03T18:07:24Z,False,False
Webwright,microsoft/Webwright,A simple SWE style browser agent framework that achieves SOTA results on long horizon web tasks. ,https://github.com/microsoft/Webwright,5198,309,5198,33,Python,,116952,MIT,2026-04-08T01:48:09Z,2026-06-08T04:25:08Z,2026-06-03T22:29:25Z,False,False
fara,microsoft/fara,Fara-7B: An Efficient Agentic Model for Computer Use,https://github.com/microsoft/fara,5445,539,5445,30,Python,"agent,browser-use,computer-use,computer-use-agent,cua",8855,MIT,2025-10-29T16:23:22Z,2026-06-08T04:22:26Z,2026-05-29T19:52:37Z,False,False
BitNet,microsoft/BitNet,Official inference framework for 1-bit LLMs,https://github.com/microsoft/BitNet,39246,3589,39246,317,Python,,8298,MIT,2024-08-05T09:07:38Z,2026-06-08T04:22:09Z,2026-03-10T07:49:47Z,False,False
graphrag,microsoft/graphrag,A modular graph-based Retrieval-Augmented Generation (RAG) system,https://github.com/microsoft/graphrag,33543,3548,33543,140,Python,"gpt,gpt-4,gpt4,graphrag,llm,llms,rag",205879,MIT,2024-03-27T17:57:52Z,2026-06-08T04:21:30Z,2026-06-05T23:46:49Z,False,False
mxc,microsoft/mxc,"Policy-driven, layered isolation and containment ",https://github.com/microsoft/mxc,717,27,717,18,Rust,,3138,MIT,2026-02-06T20:13:08Z,2026-06-08T04:18:45Z,2026-06-07T01:48:11Z,False,False
playwright-mcp,microsoft/playwright-mcp,Playwright MCP server,https://github.com/microsoft/playwright-mcp,33605,2768,33605,8,TypeScript,"mcp,playwright",2006,Apache-2.0,2025-03-21T17:48:36Z,2026-06-08T04:18:17Z,2026-06-04T20:56:00Z,False,False
mcp,microsoft/mcp,Catalog of official Microsoft MCP (Model Context Protocol) server implementations for AI-powered data access and tool integration,https://github.com/microsoft/mcp,3281,515,3281,323,C#,,304445,MIT,2025-04-09T04:12:30Z,2026-06-08T04:18:01Z,2026-06-05T22:38:47Z,False,False
LLMLingua,microsoft/LLMLingua,"[EMNLP'23, ACL'24] To speed up LLMs' inference and enhance LLM's perceive of key information, compress the prompt and KV-Cache, which achieves up to 20x compression with minimal performance loss. ",https://github.com/microsoft/LLMLingua,6261,386,6261,116,Python,,4161,MIT,2023-07-07T06:26:00Z,2026-06-08T04:17:14Z,2026-04-08T18:59:13Z,False,False
TRELLIS.2,microsoft/TRELLIS.2,Native and Compact Structured Latents for 3D Generation,https://github.com/microsoft/TRELLIS.2,8210,992,8210,135,Python,,676188,MIT,2025-11-26T10:04:35Z,2026-06-08T04:16:44Z,2026-06-05T05:19:14Z,False,False
qlib,microsoft/qlib,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, incl",https://github.com/microsoft/qlib,44148,6950,44148,423,Python,"algorithmic-trading,auto-quant,deep-learning,finance,fintech,investment,machine-learning,paper,platform,python,quant,quant-dataset,quant-models,quantitative-finance,quantitative-trading,research,research-paper,stock-data",17997,MIT,2020-08-14T06:46:00Z,2026-06-08T04:15:54Z,2026-04-22T07:08:01Z,False,False
fluentui,microsoft/fluentui,"Fluent UI web represents a collection of utilities, React components, and web components for building web applications.",https://github.com/microsoft/fluentui,20040,2890,20040,739,TypeScript,"components,fluent,microsoft,office-ui-fabric,react,react-components",838453,NOASSERTION,2016-06-06T15:03:44Z,2026-06-08T04:10:44Z,2026-06-08T04:10:33Z,False,False
Generative-AI-for-beginners-java,microsoft/Generative-AI-for-beginners-java,Learn Generative AI fundamentals through Java programming.,https://github.com/microsoft/Generative-AI-for-beginners-java,425,364,425,0,Java,,735923,MIT,2025-07-08T12:25:27Z,2026-06-08T04:10:40Z,2026-04-20T15:23:18Z,False,False
generative-ai-with-javascript,microsoft/generative-ai-with-javascript,Join a time-traveling adventure where you meet history’s legends while learning Generative AI technologies! ✨,https://github.com/microsoft/generative-ai-with-javascript,1217,794,1217,75,JavaScript,"ai,generative-ai,javascript,llm,samples,training",124870,MIT,2024-07-22T13:40:49Z,2026-06-08T04:10:33Z,2026-02-19T10:27:16Z,False,False
BiomedCLIP_data_pipeline,microsoft/BiomedCLIP_data_pipeline,BiomedCLIP data pipeline,https://github.com/microsoft/BiomedCLIP_data_pipeline,122,14,122,3,Jupyter Notebook,,560,MIT,2025-01-13T19:11:28Z,2026-06-08T04:09:25Z,2025-01-14T18:03:54Z,False,False
skills,microsoft/skills,"Skills, MCP servers, Custom Agents, Agents.md for SDKs to ground Coding Agents",https://github.com/microsoft/skills,2513,284,2513,51,TypeScript,"agent-skills,agents,azure,foundry,mcp,sdk,skills",14970,MIT,2026-01-16T18:34:20Z,2026-06-08T04:09:22Z,2026-06-05T00:29:32Z,False,False
olive-recipes,microsoft/olive-recipes,,https://github.com/microsoft/olive-recipes,56,50,56,78,Python,,41051,MIT,2025-05-22T18:25:04Z,2026-06-08T04:08:44Z,2026-06-08T04:17:33Z,False,False
langchain-for-beginners,microsoft/langchain-for-beginners,LangChain for Beginners Course,https://github.com/microsoft/langchain-for-beginners,450,140,450,7,Python,,72546,MIT,2025-10-16T17:59:18Z,2026-06-08T04:06:45Z,2025-12-10T10:19:58Z,False,False
onnxruntime,microsoft/onnxruntime,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",https://github.com/microsoft/onnxruntime,20762,3961,20762,1371,C++,"ai-framework,deep-learning,hardware-acceleration,machine-learning,neural-networks,onnx,pytorch,scikit-learn,tensorflow",1547661,MIT,2018-11-10T02:22:53Z,2026-06-08T04:04:35Z,2026-06-08T02:05:24Z,False,False
winget-pkgs,microsoft/winget-pkgs,The Microsoft community Windows Package Manager manifest repository,https://github.com/microsoft/winget-pkgs,10665,7310,10665,1963,Other,hacktoberfest,746207,MIT,2019-07-16T22:21:48Z,2026-06-08T04:04:25Z,2026-06-08T04:04:19Z,False,False
copilot-for-eclipse,microsoft/copilot-for-eclipse,GitHub Copilot plugin for Eclipse IDE,https://github.com/microsoft/copilot-for-eclipse,109,38,109,107,Java,,20315,MIT,2026-03-16T13:28:26Z,2026-06-08T04:02:04Z,2026-06-04T05:08:42Z,False,False
win-dev-skills,microsoft/win-dev-skills,Agents and skills for building Windows apps with WinUI 3 and the Windows App SDK,https://github.com/microsoft/win-dev-skills,264,12,264,24,C#,"agent,agent-skills,copilot,copilot-cli,ghcp,skills,winappsdk,winui3,winui3-app,xaml",6710,MIT,2026-03-03T17:47:08Z,2026-06-08T03:57:42Z,2026-06-03T11:47:55Z,False,False
Olive,microsoft/Olive,"Olive: Simplify ML Model Finetuning, Conversion, Quantization, and Optimization for CPUs, GPUs and NPUs.",https://github.com/microsoft/Olive,2328,299,2328,44,Python,,174280,MIT,2019-08-12T19:00:23Z,2026-06-08T03:57:24Z,2026-06-06T00:59:57Z,False,False
typescript-go,microsoft/typescript-go,Staging repo for development of native port of TypeScript,https://github.com/microsoft/typescript-go,25624,994,25624,225,Go,,285293,Apache-2.0,2024-09-19T20:25:12Z,2026-06-08T03:53:37Z,2026-06-07T21:10:19Z,False,False
Dev-Trio,microsoft/Dev-Trio,"A VS Code extension that transforms GitHub Copilot Chat into an autonomous three-agent development system. Automates setup of the Planner, Implementer, and Critic loop — with multi-provider notificati",https://github.com/microsoft/Dev-Trio,0,0,0,0,Other,,7,MIT,2026-06-08T03:41:01Z,2026-06-08T03:50:47Z,2026-06-08T03:51:55Z,False,False
discovery,microsoft/discovery,Microsoft Discovery community repository,https://github.com/microsoft/discovery,128,25,128,1,Python,,32340,MIT,2026-05-15T21:27:52Z,2026-06-08T03:48:54Z,2026-06-04T19:04:51Z,False,False
aspire.dev,microsoft/aspire.dev,The official website for all things aspire.dev.,https://github.com/microsoft/aspire.dev,166,75,166,178,MDX,"aspire,aspire-dashboard,cli,cloud-native,csharp,distributed,hacktoberfest,javascript,polyglot,python,toolkit",179381,MIT,2025-10-28T20:00:24Z,2026-06-08T03:46:47Z,2026-06-08T03:47:06Z,False,False
semantic-kernel,microsoft/semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps,https://github.com/microsoft/semantic-kernel,28072,4636,28072,285,C#,"ai,artificial-intelligence,llm,openai,sdk",102997,MIT,2023-02-27T17:39:42Z,2026-06-08T03:46:12Z,2026-06-05T23:43:19Z,False,False
generative-ai-for-beginners,microsoft/generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI ",https://github.com/microsoft/generative-ai-for-beginners,111758,59990,111758,23,Jupyter Notebook,"ai,azure,chatgpt,dall-e,generative-ai,generativeai,gpt,language-model,llms,microsoft-for-beginners,openai,prompt-engineering,semantic-search,transformers",6594567,MIT,2023-06-19T16:28:59Z,2026-06-08T03:45:31Z,2026-06-06T09:26:10Z,False,False
langchainjs-for-beginners,microsoft/langchainjs-for-beginners,LangChain.js for Beginners course,https://github.com/microsoft/langchainjs-for-beginners,152,33,152,0,TypeScript,,59900,MIT,2025-11-11T18:36:36Z,2026-06-08T03:44:48Z,2026-05-30T18:09:12Z,False,False
mcp-for-beginners,microsoft/mcp-for-beginners,"This open-source curriculum introduces the fundamentals of Model Context Protocol (MCP) through real-world, cross-language examples in .NET, Java, TypeScript, JavaScript, Rust and Python. Designed for",https://github.com/microsoft/mcp-for-beginners,16315,5338,16315,9,Jupyter Notebook,"csharp,java,javascript,javascript-applications,mcp,mcp-client,mcp-security,mcp-server,model,model-context-protocol,modelcontextprotocol,python,rust,typescript",2861747,MIT,2025-04-04T20:46:17Z,2026-06-08T03:42:12Z,2026-06-04T18:47:32Z,False,False
RD-Agent,microsoft/RD-Agent,"Research and development (R&D) is crucial for the enhancement of industrial productivity, especially in the AI era, where the core aspects of R&D are mainly focused on data and models. We are committe",https://github.com/microsoft/RD-Agent,13376,1656,13376,180,Python,"agent,ai,automation,data-mining,data-science,development,llm,research",69122,MIT,2024-04-03T03:39:33Z,2026-06-08T03:35:34Z,2026-06-05T17:09:43Z,False,False
agentrc,microsoft/agentrc,Get your repo ready for AI.,https://github.com/microsoft/agentrc,908,84,908,35,TypeScript,,3238,MIT,2026-01-29T03:37:22Z,2026-06-08T03:33:19Z,2026-06-07T07:14:00Z,False,False
Build26-BRK202-azure-devops-meets-github-the-path-to-ai-powered-sdlc,microsoft/Build26-BRK202-azure-devops-meets-github-the-path-to-ai-powered-sdlc,"Demo videos and resources for integrating Azure DevOps with GitHub to enable Agentic DevOps — AI-powered capabilities across Azure Boards, Azure Pipelines, and GitHub. From Microsoft Build 2026.",https://github.com/microsoft/Build26-BRK202-azure-devops-meets-github-the-path-to-ai-powered-sdlc,7,0,7,0,Other,"agentic-devops,azure-boards,azure-devops,azure-pipelines,build-2026,github,microsoft-build",1682,MIT,2026-04-10T22:38:47Z,2026-06-08T03:32:19Z,2026-06-05T18:21:31Z,False,False
WSL,microsoft/WSL,Windows Subsystem for Linux,https://github.com/microsoft/WSL,32597,1753,32597,941,C++,,60675,MIT,2016-04-06T17:32:56Z,2026-06-08T03:32:09Z,2026-06-08T03:43:34Z,False,False
rayfin,microsoft/rayfin,"Backend-as-a-Service with built-in auth, data, and more",https://github.com/microsoft/rayfin,424,35,424,12,Other,,23,MIT,2026-05-13T16:36:21Z,2026-06-08T03:30:04Z,2026-06-02T18:55:16Z,False,False
Generative-AI-for-beginners-dotnet,microsoft/Generative-AI-for-beginners-dotnet,"Five lessons, learn how to really apply AI to your .NET Applications",https://github.com/microsoft/Generative-AI-for-beginners-dotnet,2792,2023,2792,7,C#,"ai,azure-ai,codespaces,github-models,semantic-kernel",208993,MIT,2025-01-10T19:32:34Z,2026-06-08T03:28:04Z,2026-06-01T18:45:44Z,False,False
winget-cli,microsoft/winget-cli,"WinGet is the Windows Package Manager. This project includes a CLI (Command Line Interface), PowerShell modules, and a COM (Component Object Model) API (Application Programming Interface).",https://github.com/microsoft/winget-cli,25984,1748,25984,1285,C++,"command-line,package-manager,windows,winget",44702,MIT,2019-07-16T22:16:49Z,2026-06-08T03:27:29Z,2026-06-05T00:30:50Z,False,False
fluentui-system-icons,microsoft/fluentui-system-icons,"Fluent System Icons are a collection of familiar, friendly and modern icons from Microsoft.",https://github.com/microsoft/fluentui-system-icons,10606,782,10606,199,HTML,"android,design,fluent,flutter,icons,ios,react",829437,MIT,2020-05-12T21:05:57Z,2026-06-08T03:23:28Z,2026-06-01T21:44:49Z,False,False
autogen,microsoft/autogen,A programming framework for agentic AI,https://github.com/microsoft/autogen,58756,8873,58756,877,Python,"agentic,agentic-agi,agents,ai,autogen,autogen-ecosystem,chatgpt,framework,llm-agent,llm-framework",148692,CC-BY-4.0,2023-08-18T11:43:45Z,2026-06-08T03:22:34Z,2026-04-15T11:59:09Z,False,False
DiagManager,microsoft/DiagManager,Pssdiag/Sqldiag Manager is a graphic interface that provides customization capabilities to collect data for SQL Server using sqldiag collector engine. The data collected can be used by SQL Nexus tool ,https://github.com/microsoft/DiagManager,268,93,268,0,TSQL,,6924,NOASSERTION,2016-10-19T15:12:24Z,2026-06-08T03:21:03Z,2025-10-20T12:59:49Z,False,True
data-formulator,microsoft/data-formulator,🪄 Create rich visualizations with AI ,https://github.com/microsoft/data-formulator,15805,1485,15805,71,TypeScript,,33709,MIT,2024-06-07T23:01:51Z,2026-06-08T03:18:03Z,2026-06-06T06:02:00Z,False,False
sbi,microsoft/sbi,Secure Base Image recommendations,https://github.com/microsoft/sbi,7,0,7,0,Go,,294,MIT,2026-02-25T16:46:46Z,2026-06-08T03:16:16Z,2026-06-08T03:16:12Z,False,False
quicksand,microsoft/quicksand,Quickly sandbox your AI agent.,https://github.com/microsoft/quicksand,16,2,16,0,Python,,6444,MIT,2026-04-14T18:50:56Z,2026-06-08T03:15:19Z,2026-06-04T21:11:10Z,False,False
UFO,microsoft/UFO,UFO³: Weaving the Digital Agent Galaxy,https://github.com/microsoft/UFO,8909,1029,8909,73,Python,"agent,automation,copilot,gui,llm,windows",103137,MIT,2024-01-08T05:07:52Z,2026-06-08T03:15:16Z,2026-06-06T08:11:38Z,False,False
presidio,microsoft/presidio,"An open-source framework for detecting, redacting, masking, and anonymizing sensitive data (PII) across text, images, and structured data. Supports NLP, pattern matching, and customizable pipelines.",https://github.com/microsoft/presidio,8490,1090,8490,81,Python,"anonymization,data-anonymization,data-masking,data-obfuscation,data-privacy,data-redaction,de-identification,guardrails,image-redactor,named-entity-recognition,nlp,personally-identifiable-information,phi,pii,pii-detection,privacy,python,sensitive-data,spacy,transformers",326148,MIT,2018-05-04T11:08:58Z,2026-06-08T03:14:03Z,2026-06-07T09:11:18Z,False,False
DirectXTex,microsoft/DirectXTex,DirectXTex texture processing library,https://github.com/microsoft/DirectXTex,2110,483,2110,44,C++,"cpp,cpp-library,dds,direct3d,direct3d-texture-resources,directx,directx-11,directx-12,directxtex,microsoft,textures,wic-codec,xbox",6582,MIT,2015-04-09T19:37:02Z,2026-06-08T03:11:58Z,2026-06-06T07:13:20Z,False,False
Agent-Framework-Samples,microsoft/Agent-Framework-Samples,Agent Framework Samples  - showcasing ways in which agent framework can be utilized.,https://github.com/microsoft/Agent-Framework-Samples,299,128,299,26,Jupyter Notebook,"agent-framework,agents",52918,MIT,2025-09-26T08:07:22Z,2026-06-08T03:10:39Z,2026-06-06T03:29:16Z,False,False
TRELLIS,microsoft/TRELLIS,"Official repo for paper ""Structured 3D Latents for Scalable and Versatile 3D Generation"" (CVPR'25 Spotlight).",https://github.com/microsoft/TRELLIS,12843,1241,12843,253,Python,"3d,3d-aigc,3d-generation,image-to-3d,text-to-3d",1125587,MIT,2024-12-02T05:44:19Z,2026-06-08T03:10:23Z,2025-11-05T13:18:15Z,False,False
playwright-python,microsoft/playwright-python,Python version of the Playwright testing and automation library.,https://github.com/microsoft/playwright-python,14725,1177,14725,26,Python,"chromium,firefox,playwright,webkit",9295,Apache-2.0,2020-07-01T15:28:13Z,2026-06-08T03:07:48Z,2026-05-18T16:34:08Z,False,False
Web-Dev-For-Beginners,microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",https://github.com/microsoft/Web-Dev-For-Beginners,95872,15589,95872,70,JavaScript,"css,curriculum,education,html,javascript,learning,microsoft-for-beginners,tutorials",2204541,MIT,2020-11-10T02:44:00Z,2026-06-08T03:07:35Z,2026-06-05T19:17:29Z,False,False
vscode-extension-samples,microsoft/vscode-extension-samples,Sample code illustrating the VS Code extension API.,https://github.com/microsoft/vscode-extension-samples,10088,3884,10088,71,TypeScript,,107591,MIT,2015-11-05T10:14:11Z,2026-06-08T03:04:56Z,2026-06-02T20:35:54Z,False,False
presidio-research,microsoft/presidio-research,"This package features data-science related tasks for developing new recognizers for Presidio. It is used for the evaluation of the entire system, as well as for evaluating specific PII recognizers or ",https://github.com/microsoft/presidio-research,287,76,287,8,Jupyter Notebook,"deep-learning,flair,machine-learning,named-entity-recognition,natural-language-processing,ner,nlp,pii,privacy,spacy,transformers",15715,MIT,2020-01-05T16:35:12Z,2026-06-08T03:04:39Z,2026-05-24T12:41:54Z,False,False
awesome-rayfin,microsoft/awesome-rayfin,Community-driven templates for Rayfin,https://github.com/microsoft/awesome-rayfin,46,7,46,4,TypeScript,,517,MIT,2026-05-22T21:28:57Z,2026-06-08T03:02:44Z,2026-06-05T22:05:39Z,False,False
apm-action,microsoft/apm-action,GitHub Action for Agent Package Manager,https://github.com/microsoft/apm-action,18,3,18,3,TypeScript,,1916,MIT,2026-03-05T20:19:35Z,2026-06-08T02:59:25Z,2026-05-19T06:52:50Z,False,False
windows-rs,microsoft/windows-rs,Rust for Windows,https://github.com/microsoft/windows-rs,12381,621,12381,47,Rust,"rust,windows",1195980,Apache-2.0,2019-09-12T17:03:25Z,2026-06-08T02:56:42Z,2026-06-08T00:21:01Z,False,False
agent-governance-toolkit,microsoft/agent-governance-toolkit,"AI Agent Governance Toolkit — Policy enforcement, zero-trust identity, execution sandboxing, and reliability engineering for autonomous AI agents. Covers 10/10 OWASP Agentic Top 10.",https://github.com/microsoft/agent-governance-toolkit,4104,563,4104,49,Python,"agent-framework,ai-agents,ai-safety,compliance,governance,microsoft,owasp,policy-engine,python,security,trust,zero-trust",34928,MIT,2026-03-02T22:11:47Z,2026-06-08T02:54:50Z,2026-06-08T01:40:10Z,False,False
vscode-java-test,microsoft/vscode-java-test,Run and debug Java test cases in Visual Studio Code.,https://github.com/microsoft/vscode-java-test,333,165,333,106,TypeScript,"java,junit,test,testng,vscode",11532,NOASSERTION,2017-11-13T08:40:43Z,2026-06-08T02:51:38Z,2026-06-08T02:51:40Z,False,False
Detours,microsoft/Detours,Detours is a software package for monitoring and instrumenting API calls on Windows.  It is distributed in source code form.,https://github.com/microsoft/Detours,6281,1153,6281,86,C++,"hacktoberfest,microsoft",550,MIT,2016-10-19T21:59:40Z,2026-06-08T02:50:52Z,2026-05-22T23:48:33Z,False,False
vcpkg,microsoft/vcpkg,"C++ Library Manager for Windows, Linux, and MacOS",https://github.com/microsoft/vcpkg,27132,7552,27132,1241,CMake,"c,cmake,cplusplus,cpp,libraries,package-manager,packages,vcpkg,visual-studio,windows",107897,MIT,2016-09-15T16:40:50Z,2026-06-08T02:48:15Z,2026-06-06T17:10:05Z,False,False
testfx,microsoft/testfx,"This repository holds the source code of Microsoft.Testing.Platform (MTP), a lightweight alternative to VSTest, as well as MSTest adapter and framework.",https://github.com/microsoft/testfx,1017,296,1017,102,C#,"dotnet,microsoft,microsoft-testing-platform,mstest,mstestv2,mstestv3,mstestv4,mtp,tdd,test,test-framework,test-runner,testing,testing-tools,unittest,visual-studio",68873,MIT,2016-08-06T12:03:38Z,2026-06-08T02:42:35Z,2026-06-08T03:04:18Z,False,False
skills-for-fabric,microsoft/skills-for-fabric,"A collection of skills and MCP systems to enable users of CLI, VSCode, Claude to operate over Microsoft Fabric",https://github.com/microsoft/skills-for-fabric,421,91,421,13,Shell,,1290,MIT,2026-02-17T20:02:53Z,2026-06-08T02:39:11Z,2026-06-07T11:25:19Z,False,False
